created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2021-03-07 09:42:51 UTC,208,-66.12785,1,9,7,5,3,,,,
2021-03-07 09:43:06 UTC,209,-63.51447,1,9,7,5,3,,,,
2021-03-07 09:43:21 UTC,210,-63.42495,1,9,7,5,3,,,,
2021-03-07 09:43:36 UTC,211,-62.93706,1,9,7,5,3,,,,
2021-03-07 09:43:52 UTC,212,-63.24666,1,9,7,5,3,,,,
2021-03-07 09:44:07 UTC,213,-63.64922,1,9,7,5,3,,,,
2021-03-07 09:44:23 UTC,214,-63.42495,1,9,7,5,3,,,,
2021-03-07 09:44:38 UTC,215,-63.29114,1,9,7,5,3,,,,
2021-03-07 09:45:30 UTC,216,-66.22517,1,9,7,5,3,,,,
2021-03-07 09:45:47 UTC,217,-63.33568,1,9,7,5,3,,,,
2021-03-07 09:46:04 UTC,218,34.23192,1,17,15,13,11,,,,
2021-03-07 09:46:19 UTC,219,49.37459,1,23,21,19,17,,,,
2021-03-07 09:46:35 UTC,220,49.42339,1,23,21,19,17,,,,
2021-03-07 09:46:51 UTC,221,79.40974,1,135,133,131,129,,,,
2021-03-07 09:47:07 UTC,222,29.58580,1,17,15,13,11,,,,
2021-03-07 09:47:23 UTC,223,62.70749,1,44,42,40,38,,,,
2021-03-07 09:47:39 UTC,224,47.66769,1,22,20,18,16,,,,
2021-03-07 09:47:55 UTC,225,34.65347,1,14,12,10,8,,,,
2021-03-07 09:48:11 UTC,226,81.69629,1,135,133,131,129,,,,
2021-03-07 09:48:27 UTC,227,82.09466,1,136,134,132,130,,,,
2021-03-07 09:48:43 UTC,228,81.70139,1,135,133,131,129,,,,
2021-03-07 09:48:59 UTC,229,81.67082,1,135,133,131,129,,,,
2021-03-07 09:49:15 UTC,230,82.07935,1,136,134,132,130,,,,
2021-03-07 09:49:31 UTC,231,81.73197,1,135,133,131,129,,,,
2021-03-07 09:49:47 UTC,232,81.71158,1,135,133,131,129,,,,
2021-03-07 09:50:03 UTC,233,81.69119,1,135,133,131,129,,,,
2021-03-07 09:50:18 UTC,234,82.08445,1,136,134,132,130,,,,
2021-03-07 09:50:34 UTC,235,69.69424,1,35,33,31,29,,,,
2021-03-07 09:50:50 UTC,236,81.64028,1,135,133,131,129,,,,
